Question,Answer
ما الشروط الواجب مراعاتها في هذه الحيوانات؟, الشروط هي: 1 - بلوغ السن المجزئ (الثني من الإبل والبقر والنعاج – الجذعة من الضأن.) 2 - السامة من العيوب. 3 - أن يكون النحر في أيام العيد الأربعة.   4 - أن يكون النحر في أميال الحرم، (منى، مزدلفة، طرق مكة.) 
ما السن المعتبرة في الهدي؟, ستة أشهر للضأن (جذعه) - سنة للماعز ( ثني ) - سنتان للبقر - خمس سنوا ت للإبل. 
بأي نوع من الحيوانات كان هدي النبي؟, كان هديه من الإبل. 
كم عدد الهدي للنبي [ ؟, بلغ عدده مائة من الإبل، ونحر النبي بيده الشريفة ثلاثا وستين بعيرا، وأكمل علي ] نحر الباقي. 
هل يمكن التوكيل في فعل النحر؟, نعم، والنبي أمر عليا ] أن ينحر عنه بقية هديه في الحج. 
هل النحر له عالقة بالتحلل من الإحرام؟, لا عاقة للنحر بالتحلل من الإحرام. 
ما حكم من نحر هديه في منطقة احلل؟, هدي المتمتع والقران لا يصح ذبحه إلا في منطقة الحرم. 
ماذا يفعل من ليس عنده مال للهدي؟, له أن يصوم ثلاثة أيام في الحج، وسبعة إذا رجع إلى أهله. 
هل الإطعام في الهدي يتوجه لجهات محددة؟, نعم، فالهدي متوجه اولا لإطعام مساكن الحرم، ثم ما زاد   منه فبالمقدور توزيعه على المساكن خارج مكة. 
ما دليل مشروعية توزيع حلوم الهدي خارج مكة؟, دليل ذلك ما ذكره جابر ] أنه قال: «كنا نتزود حلوم الهدي على عهد رسول الله [ إلى المدينة.» رواه البخاري 
هل يمكن اشتراك مجموعة حجاج في هدي واحد؟, يجوز، فيشتركون في بدنة (بعير أو بقرة) وهي تكفي عن سبعة أشخاص، لقول جابر :] حججنا مع رسول الله [ فنحرنا البعير عن سبعة، والبقرة عن سبعة. رواه مسلم وأحمد 
ما أقل عدد مجزئ في الهدي؟, أقل ما يجزئ فيه: شاة، وهو عن شخص واحد. 
هل بمقدور الحاج الزيادة في عدد الهدي ؟, نعم، والنبي كان هديه مائة من الإبل. 
هل يجب شهود الحاج النحر، ويباشره بيديه، والأكل منه؟, لا يجب كل ذلك، لكن يستحب له الإكل منه. 
هل يشترط أداء النحر في المجازر (أماكن النحر)؟, نعم، فواجب الاهتمام بنظافة طرق المسلمين، واعانة والة الإمر في تنظيم الإعمال وحسن أدائها في أماكنها. 
هل على الحاج الصغير هدي؟, الصغير حكمه كحكم الرجل البالغ في الهدي، ومثله الجارية. 
هل يجوز للمرأة الحائض أن تنحر هديها أو الأضحية؟,   نعم، ولا علاقة بصحة النحر بالحيض أو النفاس. 
هل يجوز تأجيل النحر إلى اليوم الثاني أو الثالث من العيد؟, يجوز ذلك، لحديث: «كل أيام التشريق ذبح .» رواه أحمد 
ماذا لو فات شخصا الذبح في أيام التشريق؟, يجوز في الهدي الذبح ولو بعد أيام التشريق، أما الأضحية فإن غابت شمس اليوم الثالث عشر فقد فاتت السنة بها. 
هل يمكن إخراج حلوم الهدي خارج مكة؟, نعم، فقد ورد بأن الصحابة كانوا يتزودون بلحوم الهدي على عهد رسول الله [ إلى المدينة. أخرجه أحمد رابعا: الحلق أو التقصير: 
هل للحلق أجر مخصوص؟, نعم، له ثلاث رحمات من الله سبحانه، وأيضا قول النبي :[ ( أما حلقك لرأسك، فإن لك بكل شعرة تسقط حسنة.) رواه الطبراني 
هل على النساء حلق؟, لا، قال ابن عباس :] « ليس على النساء حل ٌق، إمنا على النساء التقصير.» رواه أبو داود 
كيف يكن التقصير للمرأة؟, تقص من طرف شعرها قدر الانملة، أي طرف الإصبع. 
من لم يتحلل.. هل بمقدوره قص شعر غيره؟,   لا بأس في هذا. 
ما الحكم في أخذ الرجل شعرات متفرقة من الرأس ليتم التقصير؟, التعميم بالأخذ من جميع شعر الرأس بالتقصير أو الحلق هو الوارد بالسنة النبوية الفعلية. 
من فعل الإمر السابق، هل يعيد التقصير؟, لا إعادة عليه، لجهله، ولو ورود القول فيه من بعض المذاهب، 
هل هناك من دعاء مع ّني يقوله الحاج عند احلالقة؟, لم يثبت بالشرع تخصيص دعاء معن عند الحلق أو التقصير. 
هل هناك من زمن مخصص لأداء الحلق أو التقصير؟, ليس له وقت له محدد، فلا بأس بفعله في أي وقت من هذا اليوم. 
هل هناك من موضع معني للحلق، لان النبي حلق في منى؟, يجوز في أي موضع من مكة. 
بعض الحجاج يلبون عند الحلق، فهل قولهم في محله؟, لربما هذا الحاج الذي يلبي لم يرم جمرة العقبة الكبرى، التي بعدها ينبغي أن يقطع الحاج التلبية، مثلما فعل النبي .[ 
متى يستطيع الحاج أن يجامع امرأته؟, يستطيع ذلك بعد أداء أعمال يوم النحر جميعها، الطواف والسعي، الرمي، الحلق أو التقصير. خامسا: طواف الإفاضة والسعي. 
ما الاسماء الأخرى لطواف الإفاضة؟, طواف الزيارة، وطواف الحج، وطواف النساء، وطواف الصدر. 
ما حكم طواف الإفاضة؟, ركن من أركان الحج. 
ما حكم طواف المرأة من غير وجود المحرم لها؟, لا بأس في هذا، لكن الأولى أن يكون معها ليرعاها خشية الزحام. 
هل يجوز البدء بالطواف والسعي قبل الرمي ؟, يجوز ذلك، وليس فيه مخالفة لفعله [، وألن النبي يسر على أمته فلم يشترط الترتيب في أعمال هذا اليوم. 
متى يبدأ أول وقت طواف الإفاضة؟ ومتى آخر وقته؟, يبدأ من بعد نصف ليلة النحر (العاشر من ذي الحجة) بشرط أن يسبقه الوقوف بعرفة ومزدلفة، ولا حد لنهايته. 
هل طواف الإفاضة فيه اضطباع مثل طواف القدوم؟,   ليس فيه اضطباع، والاضطباع فقط في طواف القدوم(العمرة.) 
هل هناك من َر َمل (الخطو المتقارب) في طواف الإفاضة؟, ليس هناك من رمل في هذا الطواف للمتمتع. 
هل على من حج (قارنا أو مفردا ) رمل في مشيه ، أو اضطباع؟, له أن يضطبع ويرمل في مشيه–فقط-إن لم يطف طواف القدوم. 
هل يسقط طواف الإفاضة عن الحائض؟, لا يسقط طواف الإفاضة عن الحائض ألنه ركن، وعليها أن تؤخره حتى تطهر. 
هل لها أن تجعله مع طواف الوداع؟, نعم، جعله طوافا واحدا بسبعة أشواط ويجزئ عن الإثنين. 
امرأة جاءها الحيض بعد طواف الإفاضة، هل عليها شيء؟, لا شيء عليها، ولها أن تكمل بقية الإعمال إلا طواف الوداع. 
هل السعي مرتبط بطواف الإفاضة؟, نعم، لفعل النبي، والفصل بينهما لا بأس به. 
ما حكم من قدم السعي قبل أن يطوف بالبيت؟, اختلف الفقهاء في هذا، فذهب الجمهور إلى عدم صحته لان النبي سعى بعد ما طاف، وقد قال: خذوا عني مناسككم. رواه مسلم. وذهب عطاء وداود وطائفة من أهل الحديث ورجحه بعض العلماء المعاصرين مثل ابن عثيمين إلى أنه يصح، ملا رواه   ا قال: يا رسول الله،  أبو داود عن أسامة بن شريك أن رج سعيت قبل أن أطوف؟ فقال: لا حرج. 
هل على القارن أو المفرد سعي؟,  نعم إن لم يكونا قد أديا السعي مع طواف القدوم قبل عرفة. 
هل يمكن أن نجعل طواف الإفاضة والسعي مع الوداع وذلك تجنبا للزحام في يوم النحر؟, لا بأس في ذلك. 
من جعل طواف الإفاضة مع الوداع. هل فاته شيء؟, نعم، فاته أجر كثير، وفاته تطبيق حجة النبي، ويخشى مستقبلا من ترك الناس لطواف الإفاضة والسعي في وقته. 
هل يجوز التوكيل في الطواف والسعي لوجود العذر؟, لا يجوز ذلك، ألنها عبادة متعينة بذات المسلم. 
من طاف الإفاضة وسعى، ثم نزع إحرامه. ماذا يفعل؟, عليه أن يلبس إحرامه ثم يذهب للحلق أو الرمي ليتحلل، ولا شيء عليه من كفارة إن كان غير متعمد. 
أيهما أفضل في الطواف: صحن الحرم أم الأدوار العلوية؟, الأفضل وفق كام العلماء القرب من البيت قياسا على الصفوف المتقدمة في الصلاة، وإن طاف في الأدوار العليا للبعد عن الزحام فلا بأس بفعله. 
إذا أقيمت صالة العيد أثناء الطواف أو السعي، فهل نؤدي الصالة، أم نستمر في أعمال الحج؟,   ليس على الحاج صلاة العيد، وهو بالخيار بالاستمرار في طوافه وسعيه، أو الصلاة معهم، أو انتظارهم حتى يفرغوا. 
ما حكم أداء الطواف فقط وتأخير السعي إلى اليوم التالي أو بعد طواف الوداع؟, لا بأس في هذا. 
ما حكم من أدى السعي في يوم النحر، مع تأخير طواف الإفاضة إلى وقت الوداع؟, لا بأس في هذا. 
هل يقع التحلل لو طاف الحاج طواف الإفاضة فقط بدون سعي وقام باحللق أو التقصير؟, لم يكتمل التحلل، لنقص التحلل بالطواف مع السعي ومعه العمل الثاني. سادسا: المبيت في منطقة منى 
ما معنى: المبيت في منى؟, المقصود به هو المكث فيها ليا، ولا يشترط فيه النوم. 
ماذا يفعل الحاج بعد أعمال يوم النحر؟, في الليل عليه المبيت في منى. 
ما حكم المبيت في منى ليالي التشريق؟, يعد من الواجبات. 
بعض الناس يفتي بأن المبيت في منى من المستحبات، ما توجيه القول معه؟,   أفتى بهذا بعض العلماء، لكن الراجح- والله أعلم- الوجوب، لان بعض الصحابة استأذنوا النبي في عدم المبيت في منى دلالة فهم سابق منهم على وجوب المبيت. 
ما الادلة على القول بالوجوب؟, ورد أن النبي :[ ( رخص لعمه العباس أن يبيت في مكة ليالي التشريق من أجل السقاية) ووجه الدلالة: أن كلمة (رخص)تدل على أن الاصل الوجوب؛ لان الرخصة لا تقال إلا في مقابل أمر واجب وعزمية وليس مستحب، وانما رخص لهم النبي لاشتغالهم  بمصالح المسلمين، ولم ينقل عنه أنه رخص لغيرهم حتى الضعفة من النساء والصبيان لم يرخص لهم. وورد عن ابن عمر ] قال: قال عمر :] ( لا يبيتن أحد من الحاج من وراء العقبة، وكان يوكل بذلك رجالا لا يتركون أحدا من الحاج يبيت من وراء العقبة إلا أدخلوه.) رواه مالك وصححه ابن حجر 
من الذي حكم بالوجوب من الفقهاء؟, هو مذهب جمهور الفقهاء من المال كية، والشافعية، والحنابلة. 
من الذي حكم باستحباب المكث في منى؟, ذهب الحنفية إلى أن المبيت مبنى سنة، فلو تركه لا شيء عليه جاء في كتاب العناية شرح الهداية : «ويكره أن لا يبيت مبنى ليالي الرمي، لان النبي بات مبنى، وعمر ] كان يؤدب على ترك المقام بها، ولو بات في غيرها متعمدا لا يلزمه شيء عندنا.»   
ما المقدار المعتبر جلوسه في منطقة منى؟, المعتبر في زمن المبيت تحقيق معظم الليل، لان المبيت ورد مطلقا، والاستيعاب غير واجب اتفاقا. 
هل هناك أفضلية في قضاء معظم الوقت؛ أن يكون في أول الليل أو آخره؟, لا أفضلية في هذا، لكن الاعتبار راجع إلى تحقيق هذا الإمر  ًا، مع  للحجاج في الحملة بإمكانية الوصول بيسر إلى منى لي توفر المكان المناسب للمكث فيه. 
ما حدود منطقة منى؟,  ُمحسر إلى جمرة العقبة، وهي شعب حدودها من وادي طويل نحو ميلن، وعرضه يسير، والجبال المحيطة به: ما أقبل منها عليه فهو من منى، وما أدبر فليس منها. 
هل يسقط المبيت في (منى) عن بعض الحجاج؟, نعم، يسقط وجوبه عن أهل الإعذار، والقائم بأعمال تتعلق بخدمة الحجاج وتمنعه من المبيت فيها، مثل الاطباء أو المريض، ومثلهم الرعاة للمواشي، وفي حكمهم من يكون في خدمة الحجاج، ويلزمه البقاء في مقر الحملة خارج منى. 
ما دليل هذا الحكم؟, دليله ما ورد عن ابن عمر ] أن العباس ] ( استأذن رسول الله [ أن يبيت بمكة ليالي منى، من أجل سقايته. فأذن له.) متفق عليه 
هل تقصر الصلاة في منى بدون جمع؟,   نعم، تقصر الصلاة وتصلى في وقتها دون جمع هذه هي السنة العملية عن النبي، ومن أراد أن يجمع فلا بأس بذلك. 
بعض الحجاج لا يذهب إلى منى بحجة شعوره بالتعب أو المرض اليسير. ماذا عليه؟, الواجب على المسلم أن يتقي ربه فيبادر ويجاهد نفسه في فعل الطاعات، ولا يزين لنفسه بالتقاعس عن فعل الواجبات. 
من لم يتيسر له الولوج إلى منى، أو الحصول على مكان فيها. ماذا عليه؟, من بذل السبب للمبيت في منى ولم يتمكن بسبب الزحام أو عدم وجود مكان مناسب للمبيت فهذا عليه دخولها وفق الاستطاعة، ولا شيء عليه لعدم الدخول بسبب الزحام. 
من تعذر عليه الحصول على موضع في منى لارتفاع الاسعار ماذا يفعل؟, الصحيح أنه إذا لم يستطع المبيت في منى لشدة زحام وعدم توفر مكان صالح لمثله، أو لأنه يشق عليه كلفة ومؤونة النزول لارتفاع الثمن ونحو ذلك من الإعذار فإنه يسقط عنه المبيت ولا شيء عليه، ولا يشدد عليه في ذلك لان الواجب يسقط شرعا بالعجز عنه أو المشقة الظاهرة في فعله. 
من لم يتمكن من المكث في منى ألي سبب، هل يشترط عليه قصد المكان ملاصق لمنى؟, لا يشترط هذا، لان الاصل عدم وجوبه، ولم يرد في الشرع ما يدل على اشتراطه عند سقوط المبيت، ولا يصح قياسه   على موالاة الصفوف في الصلاة لوجود الفارق المعتبر. 
كيف التوجيه للأثر الوارد عن ابن عباس الذي جاء فيه: (إذا رميت الجمرة فبت حيث شئت)، أي لا يلزم المبيت في منى تحديدا؟, قال الشيخ ابن باز عن قول ابن عباس: «وفي صحته عن ابن عباس نظر، فالأولى والأرجح والأقرب إلى الصواب إلى أنه يجب المبيت على الحجاج في منى، ليلة الحادي عشر والثاني عشر، في حق من تعجل، أما من لم يتعجل وبقي إلى ليلة الثالث عشر فإنه يبيت في الليلة الثالثة عشرة.» 
إذا أرادت الحملة أن تذهب إلى منطقة منى في الليل، فهل هذا يعد مخالفة لسنة النبي؟, لا ُيعد هذا من المخالفة، ويجوز لها الذهاب إلى منى ليا. 
حاج نسي الذهاب إلى منطقة منى للمبيت، ولم يعلم بها إلا في اليوم التالي. ماذا عليه؟, إن لم يحقق المبيت لليلة واحدة فعليه بالتصدق مع التوبة، وعلى كل حاج الحرص على السؤال دائما من أهل العلم فيما يعمله. 
هل يمكن النوم في السكن، والتخلف عن المبيت مبنى؟, المبيت في منى أيام التشريق من المأمورات، ومن ترك المبيت لغير عذر شرعي فعليه إثم ترك الواجب والفدية. 
من تعمد أن لا يذهب إلى منى خشية الزحام. ماذا عليه؟, يجب عليه أن لا يبني الحكم على مظنة وجود الزحام أو عدمه   إلا إذا تأكد منه، ولذا على الحاج التوجه إلى منى، والتأكد حتى لا يقع في محذور ترك الواجب تعمدا. 
لم يتيسر للحملة أن تجد مكانا في منى ووقفت في آخرها. فهل فعلهم صحيح؟, إن كان هناك من زحام منع الحملة من دخول منى فعليهم أن يجلسوا عند آخر خيمة يجدونها في منى، ويتحقق لهم المبيت وأداء الواجب، إن شاء الله. 
من بذل الوسع في الحصول على موضع له للجلوس فيه فلم يتيسر له إلا أرصفة الشوارع أو في الطرق. فهل يجلس فيها؟, لا يليق بالمؤمن أن يهن نفسه فيجلس في هذه المواضع. 
هل له أن يرجع إلى السكن من لم يجد مكانا مناسبا في منى؟, نعم، له ذلك بعد بذله الوسع بالبحث، وليس عليه شيء بعد ذلك لعدم المبيت. 
نتيجة للزحام لم تدخل الباصات إلا آخر الليل، وجلس الحجاج وقتا يسيرا في منى ثم غادروها. فهل أدركوا المبيت؟, نعم، لانهم حرصوا على فعل الواجب قدر وسعهم. 
نتيجة للتعب لم يتمكن الحجاج من النوم، فجلسوا مستيقظين. فهل خالفوا السنة النبوية؟, لا يشترط في المبيت النوم، والمبيت هو البقاء في مكانٍ ما ليا. 
هل هناك من حرج على من أراد أن يتسوق من منطقة منى   في أيام التشريق ؟, لا حرج عليه، بما لا يمنعه من صلاة الفجر والطاعة والدعاء. 
هل يجوز قضاء النهار في العزيزية، وفي الليل يكون الذهاب إلى منى؟, لا بأس في ذلك، وإن كانت سنة النبي البقاء في منى نهارا  ًا، لكن الوضع تعذر في الأزمنة المتأخرة مع ضيق المكان  ولي  في منى. 
ما مشروعية الرمي بعد الفجر باعتبار أن في ذلك تيسيرا على الحجاج؟, هذا غير مشروع، وليس له وجه شرعي، ولا يمكن اعتباره من باب التيسير، لان الرمي له وقت ابتداء وهو بعد الزوال. 
ما العبادات المشروع فعلها في هذه الفترة؟, ليس هناك من شيء محدد، لكن للحاج الدعاء وقراءة القرآن والحديث بالنافع من القول، وقيام الليل بالصلاة.   
ما سبب تسمية هذا اليوم ب ( التشريق)؟, كانت العرب بعد نحر الأضاحي تجعل اللحم قديدا، بنشره جهة المشرق (التشريق) ليجف، ثم يخزن للأكل فيما بعد. 
هل له من اسم آخر؟, يقال له بيوم القر، أي الاستقرار والجلوس. 
ما تاريخ هذا اليوم؟, هو يوم الحادي عشر )11( من ذي الحجة. 
ما الإعمال المشروعة في هذا اليوم؟, رمي الجمرات الثلاث، وبعدها المبيت في منى ليا. 
ما حكم أعمال هذا اليوم ؟, الرمي والمبيت في (منى ) من واجبات الحج. 
كيف رمى النبي الجمرات الثالث في هذا اليوم؟, جاء عن ابن عمر رضي الله عنهما أنه كان يرمي الجمرة الدنيا (الأولى) بسبع حصيات، يكبر على إثر كل حصاة، ثم يتقدم  ًا ويدعو ويرفع  حتى يسهل، فيقوم مستقبل القبلة فيقوم طوي  يديه، ثم يرمي الوسطى ( الثانية)، ثم يأخذ ذات الشمال   فيسهل، ويقوم مستقبل القبلة فيقوم طويا، ثم يدعو فيرفع  ًا، ثم يرمي جمرة ذات العقبة (الكبرى) من  يديه ويقوم طوي  بطن الوادي، ولا يقف عندها ثم ينصرف ، فيقول : هكذا رأيت رسول الله [ يفعله. رواه البخاري (قوله في ْس ِهل: أي يطلب الإرض السهلة المنبسطة.) 
ما حكم الخطوات التي تكون بعد الرمي للدعاء؟, حكمها الاستحباب. 
هل الدعاء يكون بعد رمي الجمرات الثالث؟, الدعاء يكون بعد رمي الجمرة الأولى والجمرة الثانية فقط، وبعد الثالثة ليس هناك من دعاء. 
ما حكم الدعاء بعد رمي الجمرة الصغرى والوسطى؟,مستحب، ويدعو المسلم قدر استطاعته بما لا يشق بالانتظار مع الزحام الحاصل في مكان رمي الجمرات. 
ما مقدار الوقوف للدعاء في مكان رمي الجمرات؟,  قدر الصحابة رضي الله عنهم مقدار وقوف النبي بما يعادل قراءة سورة البقرة، أي أن دعاءه [ كان طويلا، لكن الحاج ينبغي أن يتذكر أنه مرتبط مع رفقة لربما فيها نساء، وهناك زحام، فعليه أن يدعو بما يتيسر له ويراعي ذلك. 
من أخطأ في الرمي، فبدأ بجمرة العقبة الوسطى ثم الكبرى، ونسي الصغرى، فماذا يفعل؟, عليه أن يبادر بمعاجلة الخطأ، فيرجع ليبدأ بالصغرى، ثم الوسطى، ثم الكبرى.   
إذا زادت بعض الحجارة بيد الحاج، فهل عليه أن يرميها في مكان رمي الجمرات؟, لا يجوز هذا لان الرمي محدد ، وعليه أن يلقيها على الإرض أو يعطيها لمن ينقص منه. 
قول بعض الحجاج: (رمينا الشيطان) أو (رجمنا الشيطان)، فهل مقولتهم صحيحة؟, هذه مقولات غير صحيحة، ولنعلم أن أساس العبادة وتشريعها كان فيه رمي للشيطان، لكن الحجاج يقومون باتباع السنة النبوية، وأصبحت عبادة بعيدة عن العواطف. 
هل يجوز صيام هذه الإيام (أيام التشريق) تطوعا؟, لا يجوز صيام هذه الإيام، ألنها أيام طعام وذكر. 
هل يجوز الرمي في الصباح للابتعاد عن الزحام الحاصل بعد الزوال (أذان الظهر)؟, النبي رمى بعد الزوال في أيام التشريق، وكذلك فعل الصحابة رضي الله عنهم. 
هل يمكن تأخير الرمي إلى الليل؟, نعم، ويستدل على مشروعية الرمي بالليل بأنه لم يرد عن النبي نص صريح يدل على عدم جواز الرمي بالليل، والأصل جوازه، لكنه في النهار أفضل وأحوط. 
إلى متى وقت الرمي بالليل؟, وقت الرمي ممتد إلى الفجر.   
مريض لا يستطيع أن يرمي، هل يوكل من ينوب عنه في الرمي؟, نعم له ذلك. 
هل يشرع رمي هذه الليلة في الليلة التي تسبقها؟, اليوم المستقبل لا يرمى عنه في الليلة السابقة له، ما عدا ليلة النحر في حق الضعفة فيشرع الرمي في النصف الأخير من الليلة السابقة. 
من لم يتمكن من الرمي في هذا اليوم، فهل له جمعه مع اليوم التالي؟, نعم له ذلك، فيرمي عن اليوم السابق، ثم يرمي عن الحاضر. 
هل كل حاج بمقدوره جمع يومي الرمي؟, من كان قادرا على بلوغ مكان الرمي، ويسهل عليه املشي أو الركوب إليها فإنه يجب عليه أن يرمي كل يوم بيومه، ولا يجمع. 
هل يجوز توكيل المرأة للرمي عن الرجل لمرضه؟, يجوز أن ينوب الذكر عن الأنثى في الرمي، والعكس جائز. 
تعبت الزوجة من التجول في الأسواق، وتريد من زوجها أن يرمي عنها، فهل فعلها صحيح؟, هذا ليس من العذر الشرعي للإنابة، ولا ينبغي للزوج طاعتها في هذا، وعليها أن تتقي الله في أعمالها وطاعتها له سبحانه، وتجعل وجودها لله وملا يرضيه، وتدخر طاقتها وجهدها للطاعات وليس لحظ الدنيا.   
إذا خشي الزوج على زوجته من الزحام في الرمي فناب عنها، فهل فعله جائز؟, ينبغي أن يغلب على ظنه وجود الزحام لا أنه يريد راحة الزوجة، وإبعادها عما يتوهم أن فيه مشقة، والغالب في هذا اليوم عدم وجود المشقة، وللعلم فالحج هو جهاد النساء. 
هل يمكن الإنابة عن الصغير خشية الزحام في الرمي؟, نعم ينوب عنه وليه، أو أي شخص. ثانيا: ما يتعلق بالمبيت في منى 
ما حكم المبيت في منى ليلة الثاني عشر من ذي الحجة؟, هو من واجبات الحج. 
هل تختلف أعمال وما يتعلق بهذه الليلة عن سابقتها؟, لا تختلف عنها، بل لها نفس الإحكام. 
ما التوجيه مع يجعل من المبيت فرصة لقيل وقال وللتفكه؟, لا ينبغي هذا الصنيع، فالمسلم بتواجده في منى هو في عبادة، وهذه الإيام والليالي ينبغي جعلها للنافع من القول والفعل. 
ما حكم من لم يستطع المبيت في منى أيام التشريق؟, قال الشيخ ابن باز: «ال شيء عليه لقول الله تعالى: {فا ّت ُقوا  َما اس َت َط ْع ُت ْم} (التغابن)16: سواء كان تركه المبيت لمرض،  لا ل َه  أو عدم وجود مكان، أو نحوهما من الإعذار الشرعية؛   كالسقاة والرعاة ومن في حكمهما» . 
ماذا يلزم من ترك المبيت مبنى من غير أصحاب الإعذار؟, من بات ليلة واحدة في منى، وترك بقية الليالي فيها فعليه أن  ّسر، وإن ترك مبيت ليلة الحادي عشر والثاني  يتصدق بما تي  عشر فعليه دم، وهو رواية عن الإمام أحمد، واختيار ابن باز، وابن عثيمين رحمهم الله. 
بعض الحجاج يرمي آخر هذه الليلة، أو قبل الفجر عن اليوم التالي، بحجة اتصال هذه الليلة مع اليوم التالي. هل هذا صحيح؟, غير صحيح، وهذا فعل مصدره فتاوى لا دليل عليها، بل غير موافقة ملا ثبت بفعل النبي والصحابة رضي الله عنهم. 
ما حكم رمي بعض الحجاج بعد الفجر، بحجة التيسير، أو للابتعاد عن الزحام في نهار يوم التشريق التالي. ما التوجيه لذلك؟, هذا الفعل مخالف ملا مضى عليه النبي مع الصحابة، بل ليس من التيسير لعدم موافقته للأدلة الشرعية، والعجب ممن  ُيذكر في رمي  يريد الفرار من الزحام، وليس الإن أي زحام  الجمرات، بل ونعلم يقينا أن غالب من يرمي بعد الفجر هم فئة الشباب وأصحاب السيارات، أي أن وسيلة النقل حتت أيديهم. فلم الاستعجال المخالف لسنة النبي؟  
ما تاريخ هذا اليوم؟, هو يوم الثاني عشر من ذي الحجة. 
ما أعمال هذا اليوم؟, أعمالها: رمي الجمرات جميعها (الصغرى والوسطى والكبرى) كل واحدة بسبع حصيات، وذلك بعد الزوال، ثم المبيت في منى لمن أراد التأخر، أو ترك المبيت والوداع لمن أراد التعجل بالسفر. 
ما حكم رمي الجمار في هذا اليوم؟, يعد من واجبات الحج. 
هل رمي الجمرات في هذا اليوم مشابه لليوم السابق؟, نعم مثلها تماما، حتى في الدعاء. 
ما فعل وقول العلماء في هذا النسك؟, رمى بعد الزوال عمر وابن عباس وابن الزبير رضي الله عنهم، ولا يجوز إلا بعد الزوال عند الجمهور، وبه قال الأئمة مالك وأبو حنيفة والثوري والشافعي وأحمد. 
متى ينتهي وقت الرمي؟, الإمر بالرمي ممتد من بعد زوال شمس هذا اليوم (أذان الظهر) إلى قبل فجر اليوم التالي.   
ديننا يسر وبعيد عن المشقة ، وقد يقع في هذا اليوم تصادم بني الحجاج في الطرقات لرمي الجمرات، فلم لا نيسر على الحجاج عامة، بجواز الرمي قبل الزوال؟, التيسير ينبغي أن يكون وفق الضوابط الشرعية، وبما فهمه الصحابة رضي الله عنهم، ويكاد أن يكون ابتداء الرمي فيه إجماع للصحابة الكبار، ولذا علينا أن ننظر ابتداء إلى التيسير في امتداد وقت الرمي في نهايته، ولا ننظر إلى أوله! 
هل يمكن أن يقع تصادم بني الحجاج في هذا اليوم، مع التوسعة الهائلة ملكان رمي الجمرات؟, مع التوسعة الكبيرة لموضع الرمي فإنه يمكن القول بأن الزحام يكاد يكون منعدما، ولله الحمد، حتى في الطرقات نلاحظ سهولة املشي، والمتعجل عليه أن لا يغيب عنه حرص النبي وصحبه على حتري وترقب زمن الرمي، وليتذكر المتعجل من أصحاب السيارات خاصة أن تأخره لزمن يسير فيه خير عظيم لتطبيقه الهدي النبوي، ولخروجه عن الخلاف في المسألة. 
ما أمثلة الاضطرار الذي نحتاج فيه لتيسير الرمي قبل الزوال؟, من ذلك حجوزات السفر بالطائرة، أما المسافر بالسيارة فهذا ليس ضمن الاضطرار في التعجل بالرمي. 
من يؤدي الرمي بعد الفجر، للتيسير، فهل فعله صواب؟, هذا مخالف للسنة، ويخشى أن تكون عليه الفدية، قال الشيخ ابن عثيمين رحمه الله: «يجب أن نعلم أنه ليس كلما حلت مشقة جاز تغيير أصول العبادة.» 
 ُيقال أن هناك رخصة في الرمي قبل الزوال، لفعل ابن الزبير، فما توجيه القول حوله؟, الرواية الواردة في ذلك عنه لا تصح سندا. 
ما هو تعقيب العلماء على رواية ابن ابن الزبير؟, ذكر الإمام الطبري في كتاب (القرى لقاصد أم القرى:) «رماها بعد الزوال عمر، وابن عباس، وابن الزبير، وهي سّنة الرمي أيام التشريق الثلاثة، ولا يجوز إلا بعد الزوال عند الجمهور، وبه قال مالك وأبو حنيفة والثوري والشافعي وأحمد، وحكى عن بعضهم خاف ذلك، والسنة الصحيحة ترد ذلك.» 
هناك من يقول أن الرمي قبل الزوال رخصة، والله يحب أن نتمسك بالرخص، فما التوجيه لقوله؟, هذا ليس من الرخص الشرعية، إمنا هو اجتهاد لبعض العلماء، ولا إجماع عليه، ولو كان في الرمي قبل الزوال رخصة لبينها النبي لمن كان معه، لانتظارهم إلى الزوال وفيه مشقة عليهم، لكنه [ لم يفعل، ولم يأذن حتى للضعفة والنساء بالتقدم كما أذن لهم بمزدلفة. 
هل لا بد أن تحضر النساء لرمي الجمرات مع الرجال لينظرن إن كان هناك زحام فيوكلن الرجال بالرمي عنهن؟, مع التوسعة الرائعة لموضع رمي الجمرات، وتيسير حركة الوصول للجمرات، يمكن القول بأنه لا حاجة للتوكيل. 
ما أمثلة من ُيشرع لهم الإنابة في الرمي؟,   تجوز الإنابة في الرمي عن العاجز، كالمريض وكبير السن والأعمى الذي يشق عليه الوصول للرمي، والأعرج الذي لا يقدر على املشي ولا يجد ما يحمله، وكذلك المرأة إن لم تجد من يحفظ ولدها، فلهم التوكيل. 
هل التعجل يكون في هذا اليوم؟, نعم، وذلك بعد الرمي، وأداء طواف الوداع لمن وجب في  حقه 
